"","period","latent"
"1",1981.04,55.7091671219109
"2",1981.05,54.3049221652745
"3",1981.06,52.9749867900728
"4",1981.07,52.5588042390666
"5",1981.08,52.4482525215749
"6",1981.09,51.587582811119
"7",1981.1,50.2095443278164
"8",1981.11,42.8274919860873
"9",1981.12,42.685632634084
"10",1982.01,43.4006702885386
"11",1982.02,36.037619139927
"12",1982.03,39.0594635837312
"13",1982.04,39.8670978798392
"14",1982.05,38.3952672337176
"15",1982.06,37.6606254996795
"16",1982.07,37.4558252775067
"17",1982.08,36.3996917075069
"18",1982.09,36.8722236499645
"19",1982.1,37.1276216791467
"20",1982.11,36.760823950023
"21",1982.12,35.6842244868031
"22",1983.01,35.7111038445801
"23",1983.02,38.5049440728515
"24",1983.03,39.3317845613915
"25",1983.04,39.7200680562428
"26",1983.05,43.6376485180462
"27",1983.06,47.7204272690275
"28",1983.07,47.4478962546386
"29",1983.08,47.3528172602811
"30",1983.09,45.7030255862995
"31",1983.1,50.864623404425
"32",1983.11,53.0561346149094
"33",1983.12,51.5526760768406
"34",1984.01,52.1566099019427
"35",1984.02,53.0673032614992
"36",1984.03,51.720241617661
"37",1984.04,51.9326281715
"38",1984.05,52.5512009631511
"39",1984.06,52.1638494739171
"40",1984.07,51.0086373896024
"41",1984.08,51.2384625855654
"42",1984.09,51.8987982305085
"43",1984.1,52.5442316804365
"44",1984.11,53.5716467823559
"45",1984.12,53.8586242102533
"46",1985.01,54.4385972968254
"47",1985.02,52.5231741862504
"48",1985.03,49.526110012225
"49",1985.04,49.16575756339
"50",1985.05,49.8185140007545
"51",1985.06,52.8647474161688
"52",1985.07,53.0013821829415
"53",1985.08,52.7203009835738
"54",1985.09,52.0195870205652
"55",1985.1,51.8402378795542
"56",1985.11,50.7240446414188
"57",1985.12,52.2910204179455
"58",1986.01,51.4211112723915
"59",1986.02,53.2809609534859
"60",1986.03,55.3937944302648
"61",1986.04,56.5156197491467
"62",1986.05,58.662265803226
"63",1986.06,54.3427021914764
"64",1986.07,53.3224330707324
"65",1986.08,53.0500788881831
"66",1986.09,53.2452594375124
"67",1986.1,51.7191114529289
"68",1986.11,50.743229336468
"69",1986.12,49.8753902058286
"70",1987.01,47.0999493845346
"71",1987.02,47.1674888164673
"72",1987.03,44.932293439524
"73",1987.04,45.1285899980863
"74",1987.05,46.9461774978009
"75",1987.06,46.4681218468395
"76",1987.07,48.1289535533831
"77",1987.08,47.5827841122154
"78",1987.09,42.6191170722733
"79",1987.1,44.0293588649271
"80",1987.11,41.6903051002095
"81",1987.12,40.2276704018601
"82",1988.01,42.5417807560621
"83",1988.02,42.9159761575165
"84",1988.03,43.1076178312941
"85",1988.04,43.7688120769433
"86",1988.05,44.0117169304236
"87",1988.06,45.2609759008806
"88",1988.07,46.8448110936065
"89",1988.08,51.0833715326372
"90",1988.09,52.2752628577856
"91",1988.1,52.6107153183317
"92",1988.11,52.7052006125622
"93",1988.12,52.7318325297919
"94",1989.01,57.4020112038385
